epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,972.198,1.31161,1.27683,1.4747,0.66857,0.67844,0.70459,0.38351,1.58012,1.35355,1.70271,0.0005941,0.0005941,0.0005941
43,994.313,1.30711,1.29213,1.47281,0.65032,0.65855,0.68427,0.37944,1.52834,1.36488,1.64898,0.0005842,0.0005842,0.0005842
44,1017.35,1.27104,1.25222,1.42834,0.78903,0.62871,0.7178,0.39437,1.56424,1.32467,1.70577,0.0005743,0.0005743,0.0005743
45,1040.49,1.27425,1.24453,1.43181,0.63979,0.70469,0.71116,0.3934,1.54116,1.30149,1.69153,0.0005644,0.0005644,0.0005644
46,1063.82,1.31583,1.2697,1.46622,0.62658,0.67056,0.70142,0.38097,1.59403,1.34084,1.6972,0.0005545,0.0005545,0.0005545
47,1086.38,1.28345,1.27705,1.45926,0.65918,0.66843,0.70662,0.378,1.57837,1.36566,1.74003,0.0005446,0.0005446,0.0005446
48,1109.14,1.28515,1.22948,1.44051,0.63728,0.69844,0.70775,0.38059,1.59404,1.28852,1.72936,0.0005347,0.0005347,0.0005347
49,1132.22,1.2829,1.23515,1.44639,0.65941,0.67636,0.71354,0.39122,1.57113,1.30641,1.68128,0.0005248,0.0005248,0.0005248
50,1155.84,1.2914,1.23626,1.44768,0.71174,0.62026,0.69092,0.38083,1.54468,1.32441,1.70818,0.0005149,0.0005149,0.0005149
51,1179.47,1.28497,1.2241,1.44447,0.65532,0.70515,0.72261,0.39996,1.5418,1.29335,1.68575,0.000505,0.000505,0.000505
52,1202.94,1.26619,1.21731,1.43214,0.63916,0.65826,0.68901,0.36454,1.60479,1.3513,1.70931,0.0004951,0.0004951,0.0004951
53,1225.78,1.26625,1.23318,1.44113,0.73194,0.6184,0.70798,0.39435,1.54611,1.30745,1.6875,0.0004852,0.0004852,0.0004852
54,1249.12,1.27345,1.22227,1.43468,0.66299,0.66869,0.70819,0.38609,1.59866,1.37654,1.72733,0.0004753,0.0004753,0.0004753
55,1272.47,1.26673,1.21547,1.43199,0.64886,0.6437,0.69113,0.37933,1.58052,1.3439,1.69937,0.0004654,0.0004654,0.0004654
56,1295.69,1.25685,1.20637,1.41875,0.67465,0.69789,0.73787,0.41688,1.51064,1.2473,1.66812,0.0004555,0.0004555,0.0004555
57,1318.25,1.25428,1.15335,1.41083,0.67885,0.67571,0.73318,0.40894,1.51955,1.24836,1.65866,0.0004456,0.0004456,0.0004456
58,1341.43,1.24662,1.18762,1.41739,0.66365,0.69924,0.73348,0.3972,1.57857,1.2934,1.69763,0.0004357,0.0004357,0.0004357
59,1364.99,1.24963,1.18622,1.42056,0.65052,0.68542,0.725,0.39646,1.56296,1.28233,1.7225,0.0004258,0.0004258,0.0004258
60,1388.3,1.22818,1.17126,1.40943,0.68133,0.69382,0.73405,0.41053,1.52938,1.25287,1.67117,0.0004159,0.0004159,0.0004159
61,1411.73,1.25345,1.17122,1.41149,0.68204,0.69224,0.73896,0.40434,1.58298,1.26957,1.70551,0.000406,0.000406,0.000406
62,1433.93,1.22829,1.13187,1.39258,0.67707,0.7112,0.72312,0.40404,1.55916,1.25804,1.71469,0.0003961,0.0003961,0.0003961
63,1456.98,1.22932,1.15962,1.40086,0.68628,0.69905,0.73766,0.4063,1.53496,1.25667,1.67212,0.0003862,0.0003862,0.0003862
64,1480.41,1.21321,1.14379,1.38278,0.68185,0.70265,0.73573,0.40489,1.56503,1.26141,1.71922,0.0003763,0.0003763,0.0003763
65,1503.99,1.22756,1.14779,1.40013,0.67241,0.70228,0.72895,0.40655,1.53992,1.22231,1.68891,0.0003664,0.0003664,0.0003664
66,1527.57,1.23185,1.13539,1.40421,0.79327,0.63157,0.72985,0.4034,1.55142,1.27161,1.69749,0.0003565,0.0003565,0.0003565
