epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9983,1.79044,3.14632,1.85687,0.38121,0.15534,0.17971,0.07496,2.0723,2.87346,2.15321,0.000329114,0.000329114,0.000329114
2,53.6805,1.60727,2.28911,1.69311,0.39175,0.41521,0.32918,0.14312,2.00319,2.54205,2.13636,0.000649331,0.000649331,0.000649331
3,77.6117,1.59767,2.1319,1.68976,0.43332,0.42044,0.31879,0.14107,1.83151,3.41331,2.08715,0.000956348,0.000956348,0.000956348
4,101.505,1.60395,2.06326,1.68844,0.34426,0.51111,0.34625,0.15023,1.96961,2.49954,2.13172,0.0009406,0.0009406,0.0009406
5,125.445,1.57028,1.93655,1.67048,0.56978,0.46146,0.44746,0.20436,1.82587,2.19755,1.97023,0.0009208,0.0009208,0.0009208
6,148.914,1.53469,1.85712,1.63163,0.57543,0.52182,0.51743,0.24567,1.82005,2.00979,1.96006,0.000901,0.000901,0.000901
7,172.555,1.48856,1.83347,1.62183,0.46137,0.5175,0.49147,0.22737,1.70932,1.94182,1.88898,0.0008812,0.0008812,0.0008812
8,196.04,1.50113,1.74507,1.59694,0.55758,0.54833,0.56208,0.26586,1.77855,1.76938,1.96246,0.0008614,0.0008614,0.0008614
9,219.638,1.53207,1.74159,1.61902,0.63858,0.37396,0.37457,0.166,1.9874,2.15019,1.97375,0.0008416,0.0008416,0.0008416
10,242.895,1.47158,1.68164,1.56534,0.44113,0.52156,0.51035,0.24895,1.80848,1.8078,1.87856,0.0008218,0.0008218,0.0008218
11,265.681,1.46068,1.69365,1.57733,0.49978,0.59658,0.59796,0.29301,1.66086,1.6612,1.8118,0.000802,0.000802,0.000802
12,289.223,1.46691,1.70361,1.59706,0.58457,0.54289,0.6118,0.32304,1.64957,1.62733,1.77711,0.0007822,0.0007822,0.0007822
13,313.104,1.42949,1.58933,1.55244,0.53271,0.53346,0.56739,0.28158,1.74632,1.7145,1.85966,0.0007624,0.0007624,0.0007624
14,336.741,1.42813,1.57785,1.54513,0.72735,0.57697,0.64023,0.29996,1.73254,1.60388,1.83708,0.0007426,0.0007426,0.0007426
15,360.297,1.41919,1.53802,1.54431,0.56689,0.6411,0.65994,0.33309,1.64393,1.52807,1.81094,0.0007228,0.0007228,0.0007228
16,382.905,1.43612,1.56554,1.56141,0.61169,0.51392,0.57689,0.28421,1.70435,1.6559,1.82999,0.000703,0.000703,0.000703
17,406.844,1.41017,1.48625,1.53874,0.57012,0.59677,0.65061,0.34389,1.59972,1.53169,1.74965,0.0006832,0.0006832,0.0006832
18,431.028,1.39859,1.49462,1.54059,0.7855,0.54596,0.65743,0.33133,1.6383,1.57953,1.81172,0.0006634,0.0006634,0.0006634
19,455.225,1.41171,1.51216,1.53682,0.643,0.5835,0.63766,0.33022,1.68686,1.5913,1.77528,0.0006436,0.0006436,0.0006436
20,477.78,1.39251,1.49289,1.52562,0.78548,0.58659,0.68293,0.35421,1.62161,1.4729,1.74809,0.0006238,0.0006238,0.0006238
21,501.228,1.38412,1.47465,1.51744,0.74095,0.59403,0.66403,0.34192,1.61722,1.49348,1.7473,0.000604,0.000604,0.000604
22,525.104,1.37451,1.46689,1.52076,0.63123,0.63211,0.66123,0.33632,1.63442,1.53017,1.80764,0.0005842,0.0005842,0.0005842
23,549.249,1.34337,1.43044,1.49403,0.54379,0.643,0.65143,0.33852,1.64014,1.5101,1.74079,0.0005644,0.0005644,0.0005644
24,572.831,1.33547,1.38795,1.49118,0.71453,0.61437,0.6874,0.36915,1.59221,1.41633,1.71181,0.0005446,0.0005446,0.0005446
25,595.015,1.34532,1.40057,1.49219,0.6095,0.67025,0.68347,0.36723,1.56487,1.4329,1.721,0.0005248,0.0005248,0.0005248
26,618.465,1.34219,1.37643,1.48548,0.64824,0.68573,0.71199,0.39218,1.53665,1.36995,1.69273,0.000505,0.000505,0.000505
27,641.782,1.32848,1.33744,1.48495,0.75568,0.60018,0.69073,0.37558,1.59242,1.36472,1.71787,0.0004852,0.0004852,0.0004852
28,665.291,1.30887,1.34571,1.46617,0.65591,0.67072,0.70838,0.38695,1.55229,1.32944,1.70041,0.0004654,0.0004654,0.0004654
