epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,688.782,1.31505,1.34876,1.47751,0.63552,0.62985,0.65828,0.34571,1.62107,1.55118,1.76243,0.0004456,0.0004456,0.0004456
30,710.916,1.30038,1.31567,1.46513,0.6326,0.65942,0.69321,0.37498,1.58248,1.35192,1.68342,0.0004258,0.0004258,0.0004258
31,734.344,1.3071,1.316,1.46214,0.67165,0.63777,0.70854,0.38271,1.5615,1.35595,1.68487,0.000406,0.000406,0.000406
32,757.781,1.29423,1.30557,1.46565,0.70205,0.6475,0.71052,0.39474,1.55739,1.33841,1.68142,0.0003862,0.0003862,0.0003862
33,781.371,1.30223,1.30344,1.45929,0.61758,0.67758,0.70377,0.3825,1.56636,1.33078,1.69052,0.0003664,0.0003664,0.0003664
34,804.353,1.2804,1.2842,1.44914,0.67704,0.69802,0.72081,0.40729,1.51532,1.3116,1.64844,0.0003466,0.0003466,0.0003466
35,827.213,1.28852,1.26104,1.44352,0.66022,0.67687,0.71092,0.3844,1.57925,1.34919,1.69778,0.0003268,0.0003268,0.0003268
36,850.704,1.2975,1.29522,1.45608,0.68787,0.64819,0.7163,0.4057,1.52152,1.2918,1.6479,0.000307,0.000307,0.000307
37,874.072,1.28014,1.2521,1.44199,0.68673,0.68325,0.73127,0.40982,1.51748,1.29635,1.64221,0.0002872,0.0002872,0.0002872
38,897.767,1.2418,1.23209,1.4193,0.62505,0.72135,0.73123,0.40434,1.5464,1.27197,1.66661,0.0002674,0.0002674,0.0002674
39,919.7,1.25792,1.22126,1.42297,0.65492,0.69349,0.73366,0.41456,1.52699,1.26524,1.65564,0.0002476,0.0002476,0.0002476
40,943.165,1.24983,1.23244,1.42015,0.71924,0.68122,0.7531,0.41977,1.52562,1.26678,1.66166,0.0002278,0.0002278,0.0002278
41,967.977,1.29695,1.25374,1.50464,0.65267,0.71367,0.74176,0.40382,1.56119,1.28382,1.70305,0.000208,0.000208,0.000208
42,990.549,1.24929,1.15309,1.46923,0.67341,0.69449,0.73985,0.40539,1.54313,1.26233,1.6663,0.0001882,0.0001882,0.0001882
43,1012.08,1.24047,1.14599,1.46583,0.70442,0.71822,0.761,0.42188,1.50081,1.23404,1.65995,0.0001684,0.0001684,0.0001684
44,1034.18,1.22227,1.12399,1.46599,0.72397,0.7139,0.7588,0.42338,1.52317,1.20747,1.65083,0.0001486,0.0001486,0.0001486
45,1056.81,1.22264,1.11684,1.45078,0.70892,0.71978,0.76322,0.42251,1.51907,1.21351,1.67079,0.0001288,0.0001288,0.0001288
46,1078.81,1.18957,1.08173,1.42385,0.72348,0.71602,0.76811,0.42475,1.52071,1.20646,1.6556,0.000109,0.000109,0.000109
47,1100.46,1.17292,1.05562,1.42532,0.76009,0.69026,0.7632,0.43088,1.49203,1.19361,1.65151,8.92e-05,8.92e-05,8.92e-05
48,1123.01,1.17544,1.06051,1.42606,0.72616,0.70083,0.76458,0.42771,1.50219,1.19248,1.65531,6.94e-05,6.94e-05,6.94e-05
49,1145.23,1.17927,1.05831,1.42193,0.74358,0.69264,0.76177,0.431,1.49361,1.18782,1.64146,4.96e-05,4.96e-05,4.96e-05
50,1166.86,1.16559,1.06764,1.42262,0.74791,0.69392,0.76472,0.43276,1.49632,1.1799,1.65089,2.98e-05,2.98e-05,2.98e-05
